"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-02-29,60791,"07751","NJ","New York","Monmouth","Morganville",5380,492600,0.0040766408479413,0.00510099979596001,0.0162987414895812,0.0157390248165343,-0.01009422921979,"2006-06","2006-Q2",546600,-0.0987925356750823,"2005-01"
2016-02-29,60899,"08002","NJ","Philadelphia","Camden","Cherry Hill",5381,213100,0.00376825247291569,0.0104314841156946,0.0575682382133995,-0.000935893076847272,-0.0202966997929972,"2006-07","2006-Q3",271800,-0.215967623252391,"2004-09"
2016-02-29,79179,"48393","MI","Detroit","Oakland","Wixom",5382,224100,0.00178810907465355,0.014027149321267,0.0641025641025641,0.07707630896795,-0.00654107483263255,"2005-02","2005-Q1",242900,-0.07739810621655,"2001-04"
2016-02-29,90714,"75134","TX","Dallas-Fort Worth","Dallas","Lancaster",5383,123200,0.00900900900900901,0.0207125103562552,0.174451858913251,0.0904676486228111,0.0079682316584937,"2016-02","2016-Q1",123200,0,"2016-02"
2016-02-29,78512,"47265","IN","North Vernon","Jennings","North Vernon",5384,93700,-0.0116033755274262,-0.0290155440414508,0.00106837606837607,0.0144826434556711,-0.0111331212248932,"2005-11","2005-Q4",113400,-0.173721340388007,"2004-08"
2016-02-29,66138,"20015","DC","Washington","District of Columbia","Washington",5385,972400,-0.00174520069808028,0.00164812525751957,0.0341380410507285,0.0384047474066365,0.0174408363838043,"2016-01","2016-Q1",974100,-0.00174520069808028,"2015-12"
2016-02-29,64227,"15666","PA","Pittsburgh","Westmoreland","Mt Pleasant Township",5386,106200,0.00473036896877956,0.0172413793103448,0.0221366698748797,0.0282305641031118,0.0190924032076547,"2016-02","2016-Q1",106200,0,"2016-02"
2016-02-29,60160,"06107","CT","Hartford","Hartford","West Hartford",5387,349100,0.00373778033352501,0.00431530494821634,-0.0011444921316166,0.0100953062639819,0.000315643238498531,"2014-02","2014-Q1",362500,-0.0369655172413793,"2013-01"
2016-02-29,78202,"46615","IN","South Bend","Saint Joseph","South Bend",5388,71100,0.00282087447108604,0.0274566473988439,0.0989180834621329,-0.00028105681787749,-0.0193013311191127,"2008-06","2008-Q2",92600,-0.232181425485961,"2000-11"
2016-02-29,63950,"15219","PA","Pittsburgh","Allegheny","Pittsburgh",5389,71600,0.0112994350282486,0.0127298444130127,0.0406976744186047,0.0124640036978179,0.0345090270044175,"2015-07","2015-Q3",72300,-0.00968188105117566,"2015-06"
